89965,90366,+
368755,368883,+
111445,111789,+
444207,444320,+
397795,398004,+
244566,244796,-
493062,493154,+
502422,502844,-
125970,126662,+
484947,485216,-
430443,430556,+
206684,206923,+
184875,185000,+
467571,467996,-
177236,177556,+
327721,327831,-
541388,541792,+
307637,307930,+
89827,89919,+
521470,521883,-
215444,215881,+
547664,548056,-
88641,88739,-
91641,91919,+
377206,377301,+
28730,29305,+
300833,300943,-
429114,429263,-
384148,385467,-
469707,470084,-
382636,382725,-
350876,351055,+
64668,64868,-
230782,231024,-
221710,221859,-
557305,557727,-
21467,21577,+
306132,306272,-
395327,395437,-
458765,458863,+
137089,137184,+
229996,230199,-
327045,327446,-
214831,214968,+
229996,230127,-
369713,369823,-
125853,126662,+
178313,178447,+
484592,484699,-
335526,336107,-
160954,161391,+
394902,395105,+
418500,418661,-
183934,184020,+
301894,302154,-
398298,398834,-
441229,441309,-
251781,251975,+
190766,191143,+
547664,548059,-
461558,461689,+
429914,430078,-
306319,306654,+
579224,580033,-
391395,392108,-
87659,87754,+
329469,329609,+
222542,222691,+
565075,565344,-
123798,124010,-
147234,147365,-
266657,267091,+
421084,421317,+
428922,429122,+
557305,557772,-
103161,103304,+
252754,252942,+
360509,360682,+
159554,159778,-
183706,183813,+
86025,86114,-
172850,172984,+
429513,429641,-
538935,539051,-
448549,448674,+
426632,426763,+
218614,218895,+
239659,239817,+
408971,409444,-
420933,421139,+
174682,174765,+
274099,274212,-
351791,352024,-
1828,2073,+
348883,349137,+
448204,448449,+
39175,39291,+
38735,38977,+
306821,307000,+
85598,85942,+
349273,349620,+
331072,331179,+
69141,69254,+
312855,313193,+
227062,227208,+
331235,331459,-
167218,167556,+
560496,561923,-
565075,565314,-
149199,149360,+
382563,382679,-
191782,192102,+
471305,471466,-
311167,311283,-
216427,216678,+
12929,13033,-
522610,522693,-
502109,502420,-
42935,43093,+
229168,229275,+
106565,106660,+
230651,230764,+
351307,351507,+
456633,456752,+
148054,148236,+
104157,104327,+
522084,522365,-
454766,455248,-
137540,138058,+
167985,168230,+
194853,195506,-
320223,320426,+
488009,488176,+
91065,91157,+
226326,226457,+
309802,310050,+
9156,9323,+
230252,230383,+
133563,133655,-
273298,273462,-
51572,51700,+
174090,174200,+
314625,314738,+
356720,357214,+
111511,111789,+
46139,46276,-
214862,214978,+
377703,377912,-
229825,229995,-
514131,514781,-
75682,75816,+
131385,131546,+
148536,148958,+
278354,278812,+
357221,357478,+
133668,133799,-
499308,499439,-
562507,562620,+
86154,86276,-
67978,68094,+
230624,230764,+
128960,129355,+
168027,168230,+
290313,290627,+
316187,317308,+
45188,45442,-
219643,219840,-
67933,68094,+
462089,462289,-
304109,304822,-
230951,231052,+
381505,381681,-
458744,458863,+
278399,278812,+
448189,448449,+
117742,118035,+
257740,257907,+
133921,134172,+
462619,463560,+
432110,434137,-
52341,52769,+
428966,429244,-
513715,513912,+
147913,148053,+
415046,415243,+
383833,383967,-
290957,291328,+
337285,337419,+
309619,310050,+
25848,26006,+
89992,90366,+
502109,502402,-
324230,324322,-
354060,354476,+
33463,33900,-
472067,472423,-
309226,309492,+
569883,570029,-
448576,448674,+
230768,230944,+
231384,231548,+
537540,537668,+
467571,468083,-
45188,45511,-
218300,218518,+
351114,351260,-
351791,352054,-
180746,181018,+
246128,247426,+
554122,554271,-
55963,56478,+
325073,325159,-
31143,31718,-
125464,125850,+
46814,46909,+
514522,514704,+
141346,141669,+
424192,424341,-
92830,93084,+
15280,15396,+
348261,348773,+
390603,390959,+
419008,419091,+
162422,163237,+
555934,556311,+
175110,175256,+
351070,351270,+
218644,218895,+
255122,255592,+
458260,458547,-
432110,434155,-
29561,30124,+
52842,53207,+
456704,456835,+
84532,84744,-
51596,51700,+
220440,220598,+
7405,7857,+
149345,149506,-
96707,96955,+
158323,158604,+
318452,319207,+
512404,512541,-
224616,224696,+
356446,356757,-
514131,514529,-
345182,345295,+
578989,579234,-
351262,351495,-
94420,94548,+
246152,247426,+
38444,38533,+
144722,144826,+
570055,570372,-
502422,502823,-
48945,49190,+
443922,444089,+
571033,571398,-
227068,227208,+
93694,94134,+
401413,401535,+
568399,568713,-
160072,160263,-
529330,529494,-
40542,41069,+
168887,169015,+
405232,405312,-
195047,195274,+
507611,507748,-
61014,61406,+
283396,284373,+
358781,358870,-
141803,141916,+
279200,279499,+
134516,134776,-
579927,580076,+
541789,542094,-
239617,239817,+
28652,29305,+
372618,372749,-
332758,332868,-
551040,551942,-
247431,247565,+
527971,528279,-
571522,573150,-
43404,43565,+
331235,331432,-
441755,441892,-
356164,356340,-
