Frame 1 
33333	+	33477
33519	+	33585
33663	+	33741
33741	+	33840
33882	+	33933
33960	+	34011
34134	+	34392
34392	+	34590
34593	+	34923
35016	+	35070
35070	+	35130
35136	+	35223
35223	+	35367
35370	+	35436
35496	+	35721
35820	+	35877
35928	+	35988
36072	+	36162
36171	+	36264
36264	+	36327
36564	+	36708
36726	+	36783
36804	+	36918
37089	+	37140
37341	+	37404
37422	+	37476
37530	+	37584
37743	+	37857
37902	+	37965
37995	+	38202
38238	+	38316
38343	+	38397
38397	+	38466
38583	+	38649
38667	+	38724
38724	+	38805
38805	+	38952
38952	+	39021
39189	+	39303
39321	+	39393
39393	+	39495
39516	+	39567
39567	+	39714
39714	+	39768
39768	+	39825
39927	+	40002
40077	+	40212
40266	+	40326
40431	+	40527
40569	+	40620
40656	+	40722
40791	+	40851
40917	+	40971
40992	+	41103
41103	+	41184
41184	+	41247
41325	+	41421
41478	+	42480
42480	+	42534
42597	+	42732
42732	+	42843
42900	+	43656
43788	+	43923
43935	+	43998
44031	+	44169
44169	+	44244
44304	+	44451
44505	+	44613
44637	+	44859
44859	+	45021
45021	+	45216
45333	+	45459
45543	+	45819
45819	+	45894
46125	+	46194
46194	+	46245
46299	+	46353
46449	+	46608
46608	+	46698
46863	+	46944
46947	+	47022
47022	+	47076
47109	+	47304
47463	+	47514
47514	+	47619
47619	+	47712
48036	+	48087
48093	+	48243
48303	+	48354
48354	+	48414
48438	+	48558
48558	+	49938
49938	+	50031
50046	+	50643
50796	+	50865
50871	+	50955
50997	+	51060
51060	+	51114
51141	+	51234
51234	+	51345
51501	+	51558
51588	+	51654
51654	+	52548
52548	+	52608
52701	+	53019
53019	+	53364
53364	+	53424
53502	+	54381
54381	+	54432
54432	+	54528
54591	+	54645
54720	+	54831
54831	+	54918
54957	+	55044
55167	+	55224
55257	+	55668
55680	+	55740
55740	+	55875
55875	+	55959
56121	+	56223
56355	+	56415
56439	+	56544
56547	+	56622
56622	+	56811
57198	+	57252
57399	+	57459
57540	+	57684
57711	+	57771
57840	+	57972
57990	+	58131
58131	+	58194
58212	+	58278
58308	+	58368
58377	+	58566
58566	+	58713
58713	+	58776
58791	+	58905
58932	+	58998
59166	+	59226
59238	+	59442
59454	+	60066
60066	+	60162
60168	+	60222
60282	+	60378
60378	+	60450
60450	+	60501
60501	+	60624
60648	+	60738
60792	+	60858
60906	+	60984
61002	+	61113
61113	+	61179
61188	+	61278
61347	+	61416
61416	+	61482
61482	+	61605
61605	+	61665
61665	+	61734
61734	+	61815
61863	+	62022
62064	+	62130
62199	+	62451
62451	+	62502
62502	+	62592
62592	+	62664
62805	+	62952
63060	+	63144
63144	+	63261
63261	+	63312
63345	+	63432
63432	+	63621
63621	+	63681
63744	+	63915
63933	+	64038
64047	+	64098
64233	+	64320
64320	+	64377
64377	+	64464
64575	+	64656
64656	+	64740
64776	+	66411
66411	+	66528
66648	+	66771
66855	+	66909
66951	+	67014
67014	+	67071
67071	+	67140
67227	+	67305
67407	+	67464
67464	+	67521
67656	+	67737
67857	+	68133
68133	+	68211
68211	+	68514
68544	+	68700
68733	+	68787
68796	+	68937
69045	+	69105
69138	+	69195
69213	+	69354
69384	+	69453
69453	+	69579
69579	+	70008
70008	+	70149
70149	+	70221
70221	+	70284
70308	+	70383
70410	+	70467
70467	+	73017
73071	+	73839
73839	+	73899
73911	+	73977
74001	+	74064
74073	+	74160
74163	+	74253
74304	+	74361
74580	+	74736
74754	+	74886
74991	+	75183
75183	+	75333
75333	+	75423
75471	+	75549
75657	+	75747
75753	+	75867
75867	+	75993
75996	+	76080
76146	+	76206
76272	+	76353
76353	+	76509
76509	+	76590
76635	+	76695
76824	+	76875
76875	+	76926
76926	+	76983
77046	+	77169
77319	+	77403
77403	+	77520
77520	+	77577
77577	+	77685
77685	+	77748
77748	+	77832
77832	+	78000
78120	+	78183
78183	+	78282
78309	+	78585
78585	+	78696
78741	+	78840
78855	+	78909
78951	+	79047
79059	+	79143
79251	+	79389
79389	+	79506
79509	+	79644
79644	+	79701
79701	+	79800
79839	+	80751
80760	+	80907
80907	+	80982
81174	+	81231
81297	+	81348
81348	+	81453
81480	+	81567
81570	+	81621
81633	+	81687
81873	+	81927
81975	+	82026
82281	+	82377
82377	+	82473
82542	+	82650
82650	+	82824
82854	+	82995
83040	+	83226
83415	+	83478
83478	+	83535
83535	+	83586
83622	+	83691
83691	+	83766
83766	+	83862
83898	+	83952
83952	+	84006
84069	+	84171
84171	+	84240
84246	+	84870
84882	+	85011
85011	+	85104
85140	+	85215
85224	+	85305
85323	+	85383
85383	+	85506
85506	+	85557
85638	+	85701
85710	+	85776
86010	+	86076
86211	+	86265
86334	+	86442
86517	+	86568
86601	+	86679
86697	+	86790
86790	+	86868
86916	+	86976
86988	+	87051
87183	+	87234
87351	+	87606
87657	+	87714
87720	+	87834
87834	+	87891
87891	+	88020
88110	+	88203
88203	+	88290
88374	+	88434
88506	+	88575
88575	+	88626
88626	+	88695
88695	+	90222
90279	+	90345
90357	+	90453
90495	+	90624
90681	+	90789
90801	+	90927
91008	+	91146
91242	+	91368
91413	+	91584
91620	+	91755
91755	+	91965
91986	+	92040
92040	+	92106
92184	+	92235
92238	+	92301
92340	+	92418
92418	+	92493
92493	+	92616
92685	+	92736
92739	+	92796
92808	+	92871
92871	+	93012
93060	+	93120
93132	+	93252
93264	+	93342
93363	+	93438
93480	+	93534
93681	+	93735
93786	+	93885
93885	+	93984
93984	+	94041
94107	+	94167
94206	+	94299
94308	+	94398
94398	+	94545
94545	+	94917
94917	+	95019
95019	+	95100
95157	+	95208
95214	+	95361
95361	+	95460
95481	+	95688
95688	+	95910
95910	+	95961
95961	+	96078
96078	+	96228
96351	+	96480
96537	+	96645
96657	+	96783
96864	+	97002
97098	+	97224
97269	+	97440
97476	+	97611
97611	+	97821
97842	+	97896
97896	+	97962
98040	+	98091
98094	+	98157
98196	+	98274
98274	+	98349
98349	+	98472
98541	+	98592
98595	+	98652
98664	+	98727
98727	+	98868
98916	+	98976
98988	+	99108
99120	+	99198
99219	+	99294
99336	+	99390
99537	+	99591
99642	+	99741
99741	+	99840
99840	+	99897
99963	+	100023
100062	+	100155
100164	+	100254
100254	+	100401
100401	+	100773
100773	+	100875
100875	+	100956
101013	+	101064
101070	+	101226
101226	+	101283
101283	+	101349
101418	+	101484
101520	+	101574
101574	+	101673
101703	+	101757
101904	+	102480
102525	+	102576
102576	+	102702
102834	+	102888
102897	+	102972
103131	+	103191
103221	+	103326
103434	+	103533
103539	+	103647
103710	+	103815
103848	+	103911
104004	+	104058
104148	+	104208
104277	+	104340
104460	+	104520
104904	+	104991
105060	+	105111
105111	+	105171
105294	+	105357
105360	+	105417
105495	+	105558
105750	+	105837
105837	+	105903
106005	+	106065
106065	+	106203
106203	+	106377
106377	+	106485
106485	+	106590
106590	+	106695
106746	+	106854
106854	+	106926
106947	+	107082
107163	+	107217
107217	+	107289
107364	+	107427
107508	+	107577
107655	+	107718
107760	+	107823
107931	+	108003
108012	+	108078
108078	+	108135
108240	+	108363
108408	+	108459
108564	+	108639
108645	+	109770
109941	+	110058
110187	+	110292
110331	+	110388
110433	+	110952
110952	+	111009
111021	+	112494
112524	+	112575
112587	+	112806
112869	+	112935
112935	+	113076
113088	+	113160
113265	+	113367
113418	+	114846
114846	+	115281
115341	+	115392
115392	+	115500
115593	+	115710
115710	+	115809
115863	+	115914
115914	+	115980
115980	+	116100
116100	+	116178
116340	+	116415
116415	+	116469
116538	+	117252
117273	+	117348
117441	+	117540
117624	+	117687
117732	+	117822
117843	+	118419
118461	+	118527
118527	+	118602
118614	+	118743
118743	+	118935
118935	+	119001
119001	+	119091
119091	+	119805
119889	+	120024
120060	+	120114
120114	+	120171
120171	+	120234
120285	+	120426
120426	+	120576
120612	+	120663
120726	+	120852
120852	+	120963
120963	+	121038
121071	+	121128
121239	+	121305
121428	+	121506
121611	+	121725
121725	+	121815
121845	+	121902
121902	+	125496
125529	+	125580
125844	+	125970
126123	+	126189
126390	+	126447
126447	+	126558
126558	+	126648
126774	+	126837
126852	+	126903
127092	+	127182
127191	+	127248
127653	+	127719
127776	+	127836
128067	+	128124
128343	+	128448
128517	+	128607
128607	+	128664
128751	+	128802
128883	+	128943
128949	+	129018
129153	+	129279
129279	+	129396
129429	+	129522
129555	+	129645
129807	+	129888
129912	+	130044
130140	+	130626
130635	+	130701
130701	+	130911
130938	+	131124
131133	+	131217
131217	+	131400
131427	+	131487
131487	+	131613
131700	+	131811
131817	+	131958
131958	+	132072
132090	+	132339
132339	+	132444
132492	+	132567
132567	+	132762
132798	+	132864
132885	+	132942
133032	+	133086
133149	+	133209
133251	+	133323
133527	+	133593
133611	+	133662
133893	+	133950
133968	+	134019
134082	+	135123
135141	+	135225
135270	+	135330
135390	+	135579
135630	+	135681
135783	+	136032
136038	+	136155
136155	+	136239
136305	+	136362
136422	+	136518
136518	+	136719
136719	+	136824
136854	+	136917
137142	+	137208
137208	+	137268
137268	+	137355
137355	+	137454
137454	+	137586
137586	+	137643
137685	+	137745
137745	+	137856
137892	+	137979
137982	+	138213
138291	+	138399
138399	+	138492
138492	+	138834
138834	+	139494
139518	+	139572
139572	+	139626
139626	+	139683
139755	+	139809
139923	+	139974
140016	+	140079
140127	+	140406
140409	+	140481
140769	+	140862
140862	+	140955
140976	+	141087
141354	+	141432
141432	+	141483
141693	+	141771
141771	+	141921
141921	+	142368
142536	+	142668
142716	+	142794
142824	+	142947
143574	+	143634
143808	+	143871
143955	+	144009
144138	+	144309
144450	+	144516
144516	+	145818
145818	+	146526
146526	+	146589
146604	+	146778
146898	+	147135
147192	+	147258
147282	+	147435
147468	+	147603
147603	+	147654
147696	+	147762
147762	+	147816
147930	+	147990
148071	+	148158
148209	+	148317
148641	+	148716
148716	+	148794
148923	+	149871
149892	+	149967
149967	+	150021
150021	+	150078
150090	+	150255
150255	+	150333
150417	+	151284
151368	+	151419
151500	+	151596
151596	+	151656
151698	+	151851
151908	+	151965
152049	+	152187
152187	+	152247
152247	+	152394
152472	+	152529
152529	+	152592
152592	+	152655
152688	+	152766
152766	+	152838
152838	+	152961
153048	+	153129
153153	+	153225
153246	+	153306
153579	+	153669
153714	+	153786
153825	+	154275
154275	+	154344
154359	+	154428
154491	+	154608
154626	+	154764
154770	+	154950
155022	+	155919
155937	+	156087
156189	+	156306
156306	+	156582
156624	+	156690
156765	+	156825
156825	+	156882
156933	+	157002
157002	+	157068
157095	+	157218
157275	+	157410
157410	+	158475
158475	+	158577
158619	+	158706
158754	+	158973
158979	+	159774
159774	+	159840
159840	+	159915
159915	+	160047
160107	+	160164
160164	+	160362
160362	+	160419
160419	+	160497
160545	+	160602
160608	+	160659
160905	+	161001
161076	+	161142
161220	+	161283
161364	+	161502
161598	+	161724
161769	+	161940
161976	+	162111
162111	+	162321
162342	+	162396
162396	+	162462
162540	+	162591
162594	+	162657
162696	+	162774
162774	+	162849
162849	+	162942
163011	+	163080
163128	+	163197
163356	+	163521
163578	+	163671
163671	+	163746
163749	+	163848
163857	+	163986
163986	+	164160
164232	+	164295
164331	+	164487
164505	+	164586
164586	+	164646
164646	+	164721
164757	+	164832
164880	+	165021
165024	+	165354
165447	+	165501
165543	+	165600
165663	+	165768
165846	+	165900
165963	+	166038
166056	+	166110
166173	+	166335
166458	+	166587
166644	+	166752
166764	+	166827
166827	+	166890
166971	+	167109
167205	+	167331
167376	+	167547
167583	+	167718
167718	+	167928
167949	+	168003
168003	+	168069
168147	+	168198
168201	+	168264
168303	+	168381
168381	+	168456
168456	+	168579
168648	+	168699
168702	+	168759
